FIT101 MV101 0.395585298538208
MV101 FIT101 0.06040887162089348
P101 FIT201 0.45430290699005127
P101 MV201 0.6590076088905334
P101 P203 0.4967457354068756
MV201 FIT201 0.03822832182049751
MV201 P203 0.08167062699794769
P203 FIT201 0.04381447657942772
DPIT301 MV302 0.17212560772895813
FIT301 DPIT301 0.047972701489925385
FIT301 MV302 0.07783548533916473
FIT301 P602 0.08050280809402466
MV301 MV303 0.22277337312698364
MV301 MV304 0.17076580226421356
MV301 FIT601 0.065361388027668
MV301 P602 -0.15947726368904114
MV302 DPIT301 0.10792434215545654
MV302 FIT301 0.03688465803861618
MV302 MV301 -0.343248188495636
MV302 MV303 -0.08392251282930374
MV302 P602 -0.25506851077079773
MV303 MV301 0.0746544674038887
MV303 MV302 -0.06273453682661057
MV303 MV304 0.384443461894989
MV303 P602 -0.0846291184425354
MV304 MV301 -0.020019564777612686
MV304 MV302 0.013826943933963776
MV304 MV303 -0.10247323662042618
MV304 P602 -0.015559865161776543
P301 DPIT301 0.010549912229180336
P301 FIT301 0.08333195000886917
P301 MV302 0.030275756493210793
P302 DPIT301 0.08666092902421951
P302 FIT301 0.30894169211387634
P302 MV302 0.10341424494981766
P302 MV304 -0.22652176022529602
P302 P602 0.053003787994384766
FIT401 FIT501 0.1046304851770401
P402 FIT401 0.19373299181461334
P402 UV401 0.5660669207572937
P402 FIT501 0.2007877677679062
P402 FIT502 0.38281187415122986
P402 FIT503 0.08837112784385681
P402 PIT501 0.1636374294757843
P402 PIT503 0.1660967469215393
UV401 FIT401 0.1588597297668457
UV401 P402 0.18577882647514343
UV401 FIT501 0.15458889305591583
UV401 FIT503 0.09646113216876984
UV401 PIT501 0.1345786303281784
UV401 PIT503 0.17916184663772583
FIT501 FIT401 0.10694233328104019
FIT502 FIT401 0.13454948365688324
FIT502 FIT501 0.13622072339057922
FIT503 PIT501 0.022918500006198883
FIT504 FIT503 0.020760150626301765
P501 FIT401 0.013772140257060528
P501 FIT501 0.02804582752287388
P501 FIT502 0.031547561287879944
P501 FIT503 0.08701546490192413
P501 FIT504 0.20336569845676422
P501 PIT501 0.021258864551782608
PIT501 FIT503 0.12134905159473419
PIT501 PIT503 0.19850656390190125
PIT503 FIT503 0.08680528402328491
PIT503 PIT501 0.19651445746421814
FIT601 MV301 -0.11538111418485641
FIT601 MV303 0.4072778522968292
FIT601 P602 0.10560978949069977
P602 MV301 0.6662905812263489
P602 MV303 0.14675013720989227
P602 MV304 -0.10512816160917282
P602 FIT601 0.4559180736541748
