Results for Lag = 10,,,,,,,,,,,
,,,,,,,,,,,
F1,,,,,,,,,,,
,MoM 1,MoM 2,Ingestion,Web 1,Web 2,Antivirus 1,Antivirus 2,SWaT,Flood,Bavaria,East germany
VAR,0.25,0.2927,0.2264,0.2647,0.2785,0.2016,0.2154,0.0539,0.0574,0.0056,0.0041
MVGC,0.0833,0,0.0667,0.2258,0.2368,0.1194,0.1408,0.0787,0.0572,TLE,TLE
cLSTM,0.339,0.339,0.25,0.2321,0.25,0.1739,0.1739,0,0.0466,TLE,TLE
cMLP,0.1622,0.1463,0.1481,0.1778,0.1053,0.2198,0.2353,0.0833,0.1158,TLE,TLE
cRNN,0.1667,0.15,0.2069,0.1818,0.1111,0.2299,0.2985,0.0729,0.1009,TLE,TLE
TCDF,0,0,0,0,0.1053,0.1818,0.2,0,0,TLE,TLE
PCMICI+,0,0,0,0.2927,0.2051,0.0597,0.1071,TLE,TLE,TLE,TLE
tsFCI,0.2353,0.087,0,0.2,0.1176,0,0,TLE,TLE,TLE,TLE
PCGCE,0,0.0714,0.2222,0.2917,0.1538,0.1772,0.2933,0.0827,0.0813,TLE,TLE
DYNOTEARS,0.2353,0.2222,0.1538,0.2759,0.3673,0.1757,0.2299,0.0215,0.1333,TLE,TLE
VARLiNGAM,0.2667,0,0.2727,0.2545,0.2308,0.1856,0.1642,0.0621,0.0362,TLE,TLE
TiMINO,0.1429,0.2667,0,0,0,0,0,0.0435,0,TLE,TLE
Sinkhorn,0.4286,0.4,0.2812,0.2697,0.3014,0.1905,0.2162,0.2182,0.3226,0.186,0.1388
,,,,,,,,,,,
recall,,,,,,,,,,,
,MoM 1,MoM 2,Ingestion,Web 1,Web 2,Antivirus 1,Antivirus 2,SWaT,Flood,Bavaria,East germany
VAR,0.5,0.6,0.6667,0.6429,0.7857,0.8125,0.875,0.7568,1,0.9898,0.9493
MVGC,0.1,0,0.1111,0.5,0.6429,0.5,0.625,0.6757,0.7381,TLE,TLE
cLSTM,1,1,1,0.9286,1,1,1,0,0.9762,TLE,TLE
cMLP,0.3,0.3,0.2222,0.2857,0.1429,0.625,0.5,0.2703,0.3571,TLE,TLE
cRNN,0.3,0.3,0.3333,0.2857,0.1429,0.625,0.625,0.3182,0.381,TLE,TLE
TCDF,0,0,0,0,0.0714,0.125,0.125,0,0,TLE,TLE
PCMICI+,0,0,0,0.4286,0.2857,0.125,0.1875,TLE,TLE,TLE,TLE
tsFCI,0.4,0.1,0,0.2143,0.1429,0,0,TLE,TLE,TLE,TLE
PCGCE,0,0.1,0.4444,0.5,0.2857,0.4375,0.6875,0.2973,0.2381,TLE,TLE
DYNOTEARS,0.2,0.2,0.1111,0.5714,0.6429,0.8125,0.625,0.027,0.2143,TLE,TLE
VARLiNGAM,0.2,0,0.3333,0.5,0.6429,0.5625,0.6875,0.7838,0.2381,TLE,TLE
TiMINO,0.1,0.2,0,0,0,0,0,0.027,0,TLE,TLE
Sinkhorn,0.9,0.8,1,0.8571,0.7857,1,1,0.3243,0.2381,0.1163,0.0783
,,,,,,,,,,,
precision,,,,,,,,,,,
,MoM 1,MoM 2,Ingestion,Web 1,Web 2,Antivirus 1,Antivirus 2,SWaT,Flood,Bavaria,East germany
VAR,0.1667,0.1935,0.1364,0.1667,0.1692,0.115,0.1228,0.028,0.0296,0.0028,0.0021
MVGC,0.0714,0,0.0476,0.1458,0.1452,0.0678,0.0794,0.0418,0.0298,TLE,TLE
cLSTM,0.2041,0.2041,0.1429,0.1327,0.1429,0.0952,0.0952,0,0.0239,TLE,TLE
cMLP,0.1111,0.0968,0.1111,0.129,0.0833,0.1333,0.1538,0.0493,0.0691,TLE,TLE
cRNN,0.1154,0.1,0.15,0.1333,0.0909,0.1408,0.1961,0.0412,0.0582,TLE,TLE
TCDF,0,0,0,0,0.2,0.3333,0.5,0,0,TLE,TLE
PCMICI+,0,0,0,0.2222,0.16,0.0392,0.075,TLE,TLE,TLE,TLE
tsFCI,0.1667,0.0769,0,0.1875,0.1,0,0,TLE,TLE,TLE,TLE
PCGCE,0,0.0556,0.1481,0.2059,0.1053,0.1111,0.1864,0.048,0.049,TLE,TLE
DYNOTEARS,0.2857,0.25,0.25,0.1818,0.2571,0.0985,0.1408,0.0179,0.0968,TLE,TLE
VARLiNGAM,0.4,0,0.2308,0.1707,0.1406,0.1111,0.0932,0.0323,0.0196,TLE,TLE
TiMINO,0.25,0.4,0,0,0,0,0,0.1111,0,TLE,TLE
Sinkhorn,0.2812,0.2667,0.1636,0.16,0.1864,0.1053,0.1212,0.1644,0.5,0.4634,0.6071
