Results for Lag = 5,,,,,,,,,,,
,,,,,,,,,,,
F1,,,,,,,,,,,
,MoM 1,MoM 2,Ingestion,Web 1,Web 2,Antivirus 1,Antivirus 2,SWaT,Flood,Bavaria,East germany
VAR,0.2632,0.2051,0.24,0.254,0.2857,0.2047,0.2188,0.0565,0.0607,0.0059,0.0045
MVGC,0.0833,0.1333,0.0667,0.2188,0.2368,0.1185,0.1212,0.0767,0.0559,TLE,TLE
cLSTM,0.339,0.339,0.25,0.2321,0.25,0.1739,0.1739,0.0279,0.0465,TLE,TLE
cMLP,0.2857,0.1622,0.1538,0.186,0.1,0.2247,0.2571,0.0902,0.1203,TLE,TLE
cRNN,0.1714,0.1905,0.2143,0.1818,0.1143,0.2353,0.303,0.0788,0.0952,TLE,TLE
TCDF,0,0,0,0,0.1053,0.1818,0.2,0,0,TLE,TLE
PCMCI+,0,0.1,0,0.2703,0.2051,0.0323,0.08,TLE,TLE,TLE,TLE
tsFCI,0.2286,0.087,0,0.1875,0.1212,0.125,0.127,TLE,TLE,TLE,TLE
PCGCE,0.0833,0.0769,0.2286,0.1961,0.1132,0.2105,0.2632,0.0648,0.1116,TLE,TLE
DYNOTEARS,0.125,0.3,0.1538,0.2593,0.3462,0.1765,0.2131,0.0206,0.1342,TLE,TLE
VARLiNGAM,0,0.0909,0.25,0.2373,0.2535,0.1584,0.1655,0.066,0.0403,TLE,TLE
TiMINO,0,0.1667,0,0,0,0,0,0.058,0,TLE,TLE
Sinkhorn,0.4615,0.3784,0.2769,0.2697,0.2899,0.1916,0.2014,0.2202,0.3,0.1751,0.1351
,,,,,,,,,,,
recall,,,,,,,,,,,
,MoM 1,MoM 2,Ingestion,Web 1,Web 2,Antivirus 1,Antivirus 2,SWaT,Flood,Bavaria,East germany
VAR,0.5,0.4,0.6667,0.5714,0.7857,0.8125,0.875,0.7297,1,0.9837,0.9386
MVGC,0.1,0.2,0.1111,0.5,0.6429,0.5,0.5,0.7027,0.6429,TLE,TLE
TCDF,0,0,0,0,0.0714,0.125,0.125,1,0.9762,TLE,TLE
PCMCI+,0,0.1,0,0.3571,0.2857,0.0625,0.125,0.2973,0.381,TLE,TLE
tsFCI,0.4,0.1,0,0.2143,0.1429,0.1875,0.25,0.3636,0.381,TLE,TLE
PCGCE,0.1,0.1,0.4444,0.3571,0.2143,0.5,0.625,0,0,TLE,TLE
cLSTM,1,1,1,0.9286,1,1,1,TLE,TLE,TLE,TLE
cMLP,0.5,0.3,0.2222,0.2857,0.1429,0.625,0.5625,TLE,TLE,TLE,TLE
cRNN,0.3,0.4,0.3333,0.2857,0.1429,0.625,0.625,0.2162,0.3095,TLE,TLE
DYNOTEARS,0.1,0.3,0.1111,0.5,0.6429,0.75,0.8125,0.027,0.2381,TLE,TLE
VARLiNGAM,0,0.1,0.3333,0.5,0.6429,0.5,0.75,0.7838,0.3333,TLE,TLE
TiMINO,0,0.1,0,0,0,0,0,0.0541,0,TLE,TLE
Sinkhorn,0.9,0.7,1,0.8571,0.7143,1,0.875,0.3243,0.2143,0.1061,0.0768
,,,,,,,,,,,
precision,,,,,,,,,,,
,MoM 1,MoM 2,Ingestion,Web 1,Web 2,Antivirus 1,Antivirus 2,SWaT,Flood,Bavaria,East germany
VAR,0.1786,0.1379,0.1463,0.1633,0.1746,0.1171,0.125,0.0294,0.0313,0.003,0.0022
MVGC,0.0714,0.1,0.0476,0.14,0.1452,0.0672,0.069,0.0406,0.0292,TLE,TLE
cLSTM,0.2041,0.2041,0.1429,0.1327,0.1429,0.0952,0.0952,0.0141,0.0238,TLE,TLE
cMLP,0.2,0.1111,0.1176,0.1379,0.0769,0.137,0.1667,0.0531,0.0714,TLE,TLE
cRNN,0.12,0.125,0.1579,0.1333,0.0952,0.1449,0.2,0.0442,0.0544,TLE,TLE
TCDF,0,0,0,0,0.2,0.3333,0.5,0,0,TLE,TLE
PCMCI+,0,0.1,0,0.2174,0.16,0.0217,0.0588,TLE,TLE,TLE,TLE
tsFCI,0.16,0.0769,0,0.1667,0.1053,0.0938,0.0851,TLE,TLE,TLE,TLE
PCGCE,0.0714,0.0625,0.1538,0.1351,0.0769,0.1333,0.1667,0.0381,0.0681,TLE,TLE
DYNOTEARS,0.1667,0.3,0.25,0.175,0.2368,0.1,0.1226,0.0167,0.0935,TLE,TLE
VARLiNGAM,0,0.0833,0.2,0.1556,0.1579,0.0941,0.093,0.0344,0.0215,TLE,TLE
TiMINO,0,0.5,0,0,0,0,0,0.0625,0,TLE,TLE
Sinkhorn,0.3103,0.2593,0.1607,0.16,0.1818,0.106,0.1138,0.1667,0.5,0.5,0.5618
