FIT101 MV101 0.40133529901504517
MV101 FIT101 0.0587768517434597
P101 FIT201 0.4644690155982971
P101 MV201 0.6593668460845947
P101 P203 0.49773454666137695
MV201 FIT201 0.03478296101093292
MV201 P203 0.08114340156316757
P203 FIT201 0.04544167220592499
DPIT301 MV302 0.27627700567245483
DPIT301 P602 0.1242060586810112
FIT301 DPIT301 0.07961378991603851
FIT301 MV302 0.06599720567464828
FIT301 MV304 -0.17536887526512146
MV301 MV303 0.2436290830373764
MV301 MV304 -0.2737935185432434
MV301 FIT601 0.06640028953552246
MV301 P602 -0.20716172456741333
MV302 DPIT301 0.11884749680757523
MV302 FIT301 0.036846376955509186
MV302 MV301 -0.27759721875190735
MV302 MV303 -0.08135662972927094
MV302 MV304 0.14566439390182495
MV302 P602 -0.17607592046260834
MV303 MV304 0.1842816025018692
MV304 MV302 -0.04666972905397415
MV304 MV303 -0.020666787400841713
MV304 P602 -0.011378159746527672
P301 DPIT301 0.010783616453409195
P301 FIT301 0.08609353750944138
P301 MV302 0.014051399193704128
P302 DPIT301 0.07271284610033035
P302 FIT301 0.30535370111465454
P302 MV302 0.1174684464931488
P302 MV304 0.021723728626966476
FIT401 FIT501 0.15810050070285797
P402 FIT401 0.2091016173362732
P402 UV401 0.7350984215736389
P402 FIT501 0.1827612668275833
P402 FIT502 0.3425006568431854
P402 FIT503 0.09121615439653397
P402 PIT501 0.16619157791137695
P402 PIT503 0.1645864099264145
UV401 FIT401 0.12908361852169037
UV401 P402 0.29028716683387756
UV401 FIT501 0.15466637909412384
UV401 FIT502 0.025081545114517212
UV401 FIT503 0.09790048748254776
UV401 PIT501 0.14402048289775848
UV401 PIT503 0.1766807734966278
FIT501 FIT401 0.1400633156299591
FIT502 FIT401 0.14574174582958221
FIT502 FIT501 0.1470254361629486
FIT503 PIT501 0.043130870908498764
FIT503 PIT503 0.013273924589157104
FIT504 FIT503 0.10893335193395615
P501 FIT401 0.037109341472387314
P501 FIT501 0.056737009435892105
P501 FIT502 0.06476887315511703
P501 FIT503 0.09970318526029587
P501 FIT504 0.3324193060398102
P501 PIT501 0.032367151230573654
PIT501 FIT503 0.1080111488699913
PIT501 PIT503 0.16401056945323944
PIT503 FIT503 0.07266616076231003
PIT503 PIT501 0.22203429043293
FIT601 MV301 -0.11216884851455688
FIT601 MV303 0.2053343951702118
FIT601 P602 0.23185643553733826
P602 MV301 0.7174152731895447
P602 MV303 0.17616692185401917
P602 MV304 -0.05517098307609558
P602 FIT601 0.4531053602695465
